Detachment!!;MD2;ASWSNA20146 ;10.150.8.73;XS130002;2022/11/30;15:31:01:588
TimeOut!!;HD2;ASWSNA20162 ;10.150.8.104;XX001830;2022/11/30;17:15:57:791
TimeOut!!;HD2-FS1KT1;ASWSNA20080 ;10.150.8.144;XS185631;2022/11/30;17:32:05:631
Grant!!;HD2;ASWSNA20106 ;10.150.8.134;XS046480;2022/12/01;06:38:49:083
Grant!!;MD2;ASWSNA20106 ;10.150.8.134;XS046480;2022/12/01;06:38:49:339
Detachment!!;HD2;ASWSNA20106 ;10.150.8.134;XS046480;2022/12/01;06:48:40:082
Detachment!!;MD2;ASWSNA20106 ;10.150.8.134;XS046480;2022/12/01;06:48:40:328
Grant!!;HD2-FS1KT1;ASWSNA20080 ;10.150.8.115;XS185631;2022/12/01;07:05:06:646
Grant!!;HD2;ASWSNA20162 ;10.150.8.129;XX001830;2022/12/01;10:02:11:381
Grant!!;HD2;ASWSNA20162 ;10.150.8.129;XX001830;2022/12/01;10:09:35:730
Detachment!!;HD2;ASWSNA20162 ;10.150.8.129;XX001830;2022/12/01;10:09:41:393
Detachment!!;HD2;ASWSNA20162 ;10.150.8.129;XX001830;2022/12/01;10:37:42:803
Grant!!;HD2;ASWSNA20162 ;10.150.8.129;XX001830;2022/12/01;10:37:51:966
Detachment!!;HD2;ASWSNA20162 ;10.150.8.129;XX001830;2022/12/01;10:46:55:332
Grant!!;HD2;ASWSNA20162 ;10.150.8.129;XX001830;2022/12/01;10:47:03:701
Detachment!!;HD2;ASWSNA20162 ;10.150.8.129;XX001830;2022/12/01;12:25:12:515
Grant!!;HD2;ASWSNA20162 ;10.150.8.129;XX001830;2022/12/01;12:31:18:736
Grant!!;HD2;ASWSNA20162 ;10.150.8.129;XX001830;2022/12/01;12:50:00:653
Detachment!!;HD2;ASWSNA20162 ;10.150.8.129;XX001830;2022/12/01;12:50:01:321
Grant!!;HD2;ASWSNA20162 ;10.150.8.129;XX001830;2022/12/01;13:15:29:960
Detachment!!;HD2;ASWSNA20162 ;10.150.8.129;XX001830;2022/12/01;13:15:35:762
Detachment!!;HD2;ASWSNA20162 ;10.150.8.129;XX001830;2022/12/01;13:16:35:985
Grant!!;HD2;ASWSNA20162 ;10.150.8.129;XX001830;2022/12/01;13:16:49:965
TimeOut!!;HD2;ASWSNA20162 ;10.150.8.129;XX001830;2022/12/01;16:37:40:731
TimeOut!!;HD2-FS1KT1;ASWSNA20080 ;10.150.8.115;XS185631;2022/12/01;18:12:14:116
Grant!!;HD2-FS1KT1;ASWSNA20080 ;10.150.8.143;XS185631;2022/12/02;06:47:59:040
Grant!!;HD2;ASWSNA20162 ;10.150.8.64;XX001830;2022/12/02;08:23:57:344
Detachment!!;HD2;ASWSNA20162 ;10.150.8.64;XX001830;2022/12/02;08:26:20:707
Grant!!;HD2;ASWSNA20162 ;10.150.8.64;XX001830;2022/12/02;08:26:21:134
TimeOut!!;HD2-FS1KT1;ASWSNA20080 ;10.150.8.78;XS185631;2022/12/02;08:28:54:016
Detachment!!;HD2;ASWSNA20162 ;10.150.8.64;XX001830;2022/12/02;08:49:26:773
Grant!!;HD2;ASWSNA20162 ;10.150.8.64;XX001830;2022/12/02;08:49:42:124
Grant!!;MD2;ASWSNA20145 ;10.150.8.130;XS130005;2022/12/02;09:23:28:162
TimeOut!!;HD2;ASWSNA20162 ;10.150.8.64;XX001830;2022/12/02;11:20:35:030
Detachment!!;MD2;ASWSNA20145 ;10.150.8.130;XS130005;2022/12/02;11:46:08:719
Grant!!;HD2;ASWSNA20162 ;10.150.8.107;XX001830;2022/12/02;12:12:49:426
Grant!!;HD2;ASWSNA20162 ;10.150.8.107;XX001830;2022/12/02;13:36:37:842
Detachment!!;HD2;ASWSNA20162 ;10.150.8.107;XX001830;2022/12/02;13:37:09:816
Detachment!!;HD2;ASWSNA20162 ;10.150.8.107;XX001830;2022/12/02;15:10:25:509
Grant!!;HD2;ASWSNA20162 ;10.150.8.107;XX001830;2022/12/02;15:10:35:199
TimeOut!!;HD2;ASWSNA20162 ;10.150.8.107;XX001830;2022/12/02;16:34:51:170
Grant!!;HD2;ASWSNA20162 ;10.150.8.58;XX001830;2022/12/05;07:07:16:043
Detachment!!;HD2;ASWSNA20162 ;10.150.8.58;XX001830;2022/12/05;10:41:05:033
Grant!!;HD2;ASWSNA20162 ;10.150.8.58;XX001830;2022/12/05;10:41:15:031
Grant!!;HD2;ASWSNA20162 ;10.150.8.58;XX001830;2022/12/05;10:41:29:585
Detachment!!;HD2;ASWSNA20162 ;10.150.8.58;XX001830;2022/12/05;10:42:44:479
TimeOut!!;HD2;ASWSNA20162 ;10.150.8.58;XX001830;2022/12/05;11:32:27:207
Grant!!;HD2;ASWSNA20162 ;10.150.8.83;XX001830;2022/12/05;11:34:34:395
TimeOut!!;HD2;ASWSNA20162 ;10.150.8.83;XX001830;2022/12/05;11:52:13:555
Detachment!!;AM2;ASWSNA20107 ;10.150.8.79;XX000447;2022/12/05;12:26:50:459
Detachment!!;MD2;ASWSNA20107 ;10.150.8.79;XX000447;2022/12/05;12:26:50:568
Grant!!;MD2;ASWSNA20107 ;10.150.8.89;XX000447;2022/12/05;12:31:43:206
Grant!!;AM2;ASWSNA20107 ;10.150.8.89;XX000447;2022/12/05;12:31:43:518
Grant!!;HD2;ASWSNA20106 ;10.150.8.135;XS046480;2022/12/05;12:45:20:096
Grant!!;MD2;ASWSNA20106 ;10.150.8.135;XS046480;2022/12/05;12:45:20:393
Detachment!!;HD2;ASWSNA20106 ;10.150.8.135;XS046480;2022/12/05;12:50:56:883
Detachment!!;MD2;ASWSNA20106 ;10.150.8.135;XS046480;2022/12/05;12:50:57:117
Grant!!;HD2;ASWSNA20106 ;10.150.8.135;XS046480;2022/12/05;20:41:20:237
Grant!!;MD2;ASWSNA20106 ;10.150.8.135;XS046480;2022/12/05;20:41:20:502
Detachment!!;HD2;ASWSNA20106 ;10.150.8.135;XS046480;2022/12/05;21:49:58:228
Detachment!!;MD2;ASWSNA20106 ;10.150.8.135;XS046480;2022/12/05;21:49:58:994
Grant!!;MD2;ASWSNA20145 ;10.150.8.157;XS130005;2022/12/06;07:51:13:145
Grant!!;HD2;ASWSNA20162 ;10.150.8.151;XX001830;2022/12/06;07:57:21:304
Detachment!!;HD2;ASWSNA20162 ;10.150.8.151;XX001830;2022/12/06;08:20:33:078
Grant!!;HD2;ASWSNA20162 ;10.150.8.151;XX001830;2022/12/06;08:20:40:047
TimeOut!!;MD2;ASWSNA20145 ;10.150.8.157;XS130005;2022/12/06;08:42:11:085
Grant!!;HD2;ASWSNA20162 ;10.150.0.90;XX001830;2022/12/06;08:43:46:995
Detachment!!;HD2;ASWSNA20162 ;10.150.0.90;XX001830;2022/12/06;08:44:02:678
Grant!!;HD2;ASWSNA20162 ;10.150.0.90;XX001830;2022/12/06;08:44:11:381
Grant!!;MD2;ASWSNA20145 ;10.150.0.150;XS130005;2022/12/06;08:44:11:381
Detachment!!;HD2;ASWSNA20162 ;10.150.0.90;XX001830;2022/12/06;08:44:25:366
Grant!!;HD2;ASWSNA20162 ;10.150.0.90;XX001830;2022/12/06;08:44:37:871
Detachment!!;HD2;ASWSNA20162 ;10.150.0.90;XX001830;2022/12/06;08:44:48:895
Grant!!;HD2;ASWSNA20162 ;10.150.8.82;XX001830;2022/12/06;08:48:23:076
TimeOut!!;HD2;ASWSNA20162 ;10.150.8.151;XX001830;2022/12/06;08:54:58:445
Detachment!!;HD2;ASWSNA20162 ;10.150.8.82;XX001830;2022/12/06;08:55:34:892
Grant!!;HD2;ASWSNA20162 ;10.150.8.54;XX001830;2022/12/06;08:55:37:579
Detachment!!;HD2;ASWSNA20162 ;10.150.8.54;XX001830;2022/12/06;09:05:40:520
Grant!!;HD2;ASWSNA20162 ;10.150.8.54;XX001830;2022/12/06;09:22:23:972
Grant!!;HD2;ASWSNA20106 ;10.150.8.117;XS046480;2022/12/06;09:25:30:042
Detachment!!;HD2;ASWSNA20162 ;10.150.8.54;XX001830;2022/12/06;09:27:36:397
Detachment!!;HD2;ASWSNA20106 ;10.150.8.117;XS046480;2022/12/06;09:30:30:191
Grant!!;HD2;ASWSNA20162 ;10.150.8.54;XX001830;2022/12/06;10:17:31:230
Detachment!!;HD2;ASWSNA20162 ;10.150.8.54;XX001830;2022/12/06;10:20:56:394
