AFE;CFG;7;ENOVIA V6;KKZ-42661C6F695667C0;AFE_V6_KKZ-42661C6F695667C0_ENOVIA V6;
AMG;CFG;41;CATIA V5;KKZ-42661C6F695667C0;AMG_V6_KKZ-42661C6F695667C0_CATIA V5;
APE;CFG;17;ENOVIA V6;KKZ-42661C6F695667C0;APE_V6_KKZ-42661C6F695667C0_ENOVIA V6;
CAI;SHA;34;ENOVIA SmarTeam V5;KKZ-42661C6F695667C0;CAI_V6_KKZ-42661C6F695667C0_ENOVIA SmarTeam V5;
CCD;CFG;3;CATIA V5;KKZ-42661C6F695667C0;CCD_V6_KKZ-42661C6F695667C0_CATIA V5;
CCM;CFG;3;Governance/Lifecycle;KKZ-42661C6F695667C0;CCM_V6_KKZ-42661C6F695667C0_Governance/Lifecycle;
CD3;CFG;28;CATIA V5;KKZ-42661C6F695667C0;CD3_V6_KKZ-42661C6F695667C0_CATIA V5;
CD5;CFG;46;ENOVIA V6;KKZ-42661C6F695667C0;CD5_V6_KKZ-42661C6F695667C0_ENOVIA V6;
CDC;CFG;1;CAA V5;KKZ-42661C6F695667C0;CDC_V6_KKZ-42661C6F695667C0_CAA V5;
CFE;CFG;42;ENOVIA V6;KKZ-42661C6F695667C0;CFE_V6_KKZ-42661C6F695667C0_ENOVIA V6;
CFM;SHA;1;CATIA V5;KKZ-42661C6F695667C0;CFM_V6_KKZ-42661C6F695667C0_CATIA V5;
CGE;CFG;15;ENOVIA V6;KKZ-42661C6F695667C0;CGE_V6_KKZ-42661C6F695667C0_ENOVIA V6;
CHT;CFG;15;ENOVIA V6;KKZ-42661C6F695667C0;CHT_V6_KKZ-42661C6F695667C0_ENOVIA V6;
CLA;SHA;1;CATIA V5;KKZ-42661C6F695667C0;CLA_V6_KKZ-42661C6F695667C0_CATIA V5;
CPF;CFG;116;ENOVIA V6;KKZ-42661C6F695667C0;CPF_V6_KKZ-42661C6F695667C0_ENOVIA V6;
CPR;SHA;1;CATIA / ENOVIA DMU;KKZ-42661C6F695667C0;CPR_V6_KKZ-42661C6F695667C0_CATIA / ENOVIA DMU;
CSV;CFG;49;Governance/Lifecycle;KKZ-42661C6F695667C0;CSV_V6_KKZ-42661C6F695667C0_Governance/Lifecycle;
CT5;CFG;46;ENOVIA V6;KKZ-42661C6F695667C0;CT5_V6_KKZ-42661C6F695667C0_ENOVIA V6;
CWI;SHA;7;ENOVIA SmarTeam V5;KKZ-42661C6F695667C0;CWI_V6_KKZ-42661C6F695667C0_ENOVIA SmarTeam V5;
DCI;CFG;46;ENOVIA V6;KKZ-42661C6F695667C0;DCI_V6_KKZ-42661C6F695667C0_ENOVIA V6;
DEC;CFG;57;ENOVIA V6;KKZ-42661C6F695667C0;DEC_V6_KKZ-42661C6F695667C0_ENOVIA V6;
DL1;SHA;4;CATIA V5;KKZ-42661C6F695667C0;DL1_V6_KKZ-42661C6F695667C0_CATIA V5;
DM1;CFG;44;CATIA / ENOVIA DMU;KKZ-42661C6F695667C0;DM1_V6_KKZ-42661C6F695667C0_CATIA / ENOVIA DMU;
DM2;CFG;1;CATIA / ENOVIA DMU;KKZ-42661C6F695667C0;DM2_V6_KKZ-42661C6F695667C0_CATIA / ENOVIA DMU;
DMN;SHA;4;CATIA V5;KKZ-42661C6F695667C0;DMN_V6_KKZ-42661C6F695667C0_CATIA V5;
DSE;SHA;1;CATIA V5;KKZ-42661C6F695667C0;DSE_V6_KKZ-42661C6F695667C0_CATIA V5;
DTE;CFG;1;ENOVIA V6;KKZ-42661C6F695667C0;DTE_V6_KKZ-42661C6F695667C0_ENOVIA V6;
DVA;CFG;7;ENOVIA V6;KKZ-42661C6F695667C0;DVA_V6_KKZ-42661C6F695667C0_ENOVIA V6;
EDR;SHA;49;ENOVIA SmarTeam V5;KKZ-42661C6F695667C0;EDR_V6_KKZ-42661C6F695667C0_ENOVIA SmarTeam V5;
EHD;CFG;1;ENOVIA V6;KKZ-42661C6F695667C0;EHD_V6_KKZ-42661C6F695667C0_ENOVIA V6;
EHF;CFG;23;CATIA V5;KKZ-42661C6F695667C0;EHF_V6_KKZ-42661C6F695667C0_CATIA V5;
EHI;CFG;4;CATIA V5;KKZ-42661C6F695667C0;EHI_V6_KKZ-42661C6F695667C0_CATIA V5;
EI2;CFG;19;CATIA V5;KKZ-42661C6F695667C0;EI2_V6_KKZ-42661C6F695667C0_CATIA V5;
ELB;CFG;4;CATIA V5;KKZ-42661C6F695667C0;ELB_V6_KKZ-42661C6F695667C0_CATIA V5;
ENG;CFG;18;ENOVIA V6;KKZ-42661C6F695667C0;ENG_V6_KKZ-42661C6F695667C0_ENOVIA V6;
EWE;SHA;2;CATIA V5;KKZ-42661C6F695667C0;EWE_V6_KKZ-42661C6F695667C0_CATIA V5;
EXC;CFG;17;ENOVIA V6;KKZ-42661C6F695667C0;EXC_V6_KKZ-42661C6F695667C0_ENOVIA V6;
EXH;CFG;4;Governance/Lifecycle;KKZ-42661C6F695667C0;EXH_V6_KKZ-42661C6F695667C0_Governance/Lifecycle;
FCS;CFG;4;ENOVIA V6;KKZ-42661C6F695667C0;FCS_V6_KKZ-42661C6F695667C0_ENOVIA V6;
FDN;SHA;49;ENOVIA SmarTeam V5;KKZ-42661C6F695667C0;FDN_V6_KKZ-42661C6F695667C0_ENOVIA SmarTeam V5;
FIT;SHA;1;CATIA / ENOVIA DMU;KKZ-42661C6F695667C0;FIT_V6_KKZ-42661C6F695667C0_CATIA / ENOVIA DMU;
FS1;CFG;214;CATIA V5;KKZ-42661C6F695667C0;FS1_V6_KKZ-42661C6F695667C0_CATIA V5;
